text,label
"اعتبر الرئيس التركي رجب طيب أردوغان أن مستشار الأمن القومي الأمريكي جون بولتون قد ارتكب خطأ فادحا بتصريحاته حول سوريا ، مشيرا إلى انتهاء استعداد تركيا لعملية عسكرية في سوريا . إقرأ المزيد وقال أردوغان : "" لا يمكننا قبول تصريحات مستشار الأمن القومي الأمريكي جون بولتون في إسرائيل حول سوريا . بولتون ارتكب بتصريحاته الأخيرة خطأ فادحا "" ، وأن على أنقرة الموافقة على حماية حلفاء واشنطن الأكراد في سوريا ، منتقدا الادعاءات باستهداف تركيا للأكراد واعتبرها "" افتراء دنيئا "" . وشدد الرئيس التركي على أن بلاده لا يمكن أن تتنازل في قضية وحدات حماية الشعب الكردية السورية . وأضاف أردوغان أنه "" على الرغم من وجود اتفاق واضح مع الرئيس دونالد ترامب فإن هناك عناصر أخرى في إدارته تتخذ مواقف مختلفة "" . ولفت الرئيس التركي إلى أن بلاده أنهت الاستعدادات الكاملة لشن عملة عسكرية في سوريا وستبدأها قريبا ، موضحا أن العملية هي لحماية السكان ووحدة سوريا ، "" تركيا هي التي تحملت العبء الأكبر للأزمة الإنسانية الحاصلة في سوريا . وهي الدولة التي تكافح الإرهاب بشكل حقيقي "" . واعتبر أردوغان أن حزب العمال الكردستاني لا يمكن أن يكون ممثلا للأكراد ، وأنه ووحدات حماية الشعب الكردية ، وجهان لعملة واحدة . واعتبر أردوغان أن محاربة قوات سوريا الديمقراطية لتنظيم "" داعش "" في سوريا ليست إلا "" كذبة كبيرة "" . المصدر : وكالات",1
"ذكرت وسائل إعلام إسبانية ، اليوم الثلاثاء ، أن البرتغالي كريستيانو رونالدو نجم ريال مدريد ، سيدلي بإفادته في قضية التهرب الضريبي أمام النيابة العامة الإسبانية في 31 يوليو المقبل . وذكرت صحيفة إلكونفيدنسيال الإسبانية على الإنترنت أن رونالدو هداف ريال مدريد بطل أوروبا سيدلي بشهادته في قضية إخفاء دخله عن سلطات الضرائب . واعتبر الادعاء الإسباني أن رونالدو كان يدرك أنه يستخدم هيكلا تجاريا لإخفاء دخله من بيع حقوق الملكية لصوره في إسبانيا بين 2011 و 2014 . وكانت النيابة العامة في مدريد أعلنت الأسبوع الماضي أنها تقدمت ببلاغ ضد رونالدو متهمة إياه "" بأربع جرائم ضد الخزانة العامة ما بين عامي 2011 و 2014 التي تنطوي على غش ضريبي "" بمبلغ 14 . 7 مليون يورو ( 16 . 5 مليون دولار ) . Date and time set for [مستخدم] trial He goes to court next month . [رابط] [رابط] — MARCA in English [بريد] 20 2017 . واعتبرت النيابة العامة أن اللاعب البرتغالي "" استفاد من كيان شركة أنشئت في 2010 لإخفاء العائدات التي يحصل عليها في إسبانيا من حقوق بيع الصور عن سلطات الضرائب "" . إقرأ المزيد وكان اسم رونالدو ورد في تقارير "" فوتبول ليكس "" التي كشفت في 2016 وثائق تتعلق بعمليات تهرب ضريبي على نطاق واسع في عالم كرة القدم شملت العديد من اللاعبين والمدربين في أوروبا . إقرأ المزيد لكن المهاجم البرتغالي نفى مرارا تورطه في أي تهرب ضريبي ، ونشر أواخر العام الماضي كشوفات مالية بقيمة 225 مليون يورو . وأكد أنه "" مرتاح الضمير "" ، بينما أبدى فريقه ريال مدريد ثقته ب "" براءة ذمته "" . المصدر : وكالات أليكسي اسبر",1
"قالت الهيئة القومية الأميركية للمحميات الخميس إن مؤلفا له عدة كتب عن الدببة الرمادية الضخمة ، نجا من هجوم لأحدها في محمية يلوستون القومية الشهيرة في الولايات المتحدة . وأضافت أن الكاتب جيم كول ( 57 عاما ) من ولاية مونتانا هاجمته أنثى دب معها صغيرها الأربعاء في المحمية بينما كان يلتقط صورا لها . وقالت الهيئة في بيان إن كول نجح في السير نحو خمسة كيلومترات حتى وصل إلى طريق رغم الجراح البالغة التي أصيب بها في وجهه ، مضيفة أن "" كول نشر كتبا عن حياة الدببة الرمادية الضخمة في مونتانا ووايومنغ وألاسكا "" . وذكر البيان أن هذه هي المرة الثانية التي يتعرض فيها كول لهجوم من دب ، ما يبرز الأخطار التي تكتنف الاقتراب بدرجة كبيرة وبشكل متكرر من الدببة في الحياة البرية . وفي عام 2003 لقي تيموثي تريدويل - وهو ناشط في مجال حماية الدببة وله أيضا كتابات عنها - حتفه مع مرافق له في هجوم لدب رمادي ضخم - واحد على الأقل - في ألاسكا . وقالت هيئة المحميات إن الحادث هو الأول الذي يصاب فيه شخص بجروح بفعل دب في محمية يلوستون القومية منذ سبتمبر أيلول 2005 . وكان آخر حادث قتل فيه دب إنسانا في محمية يلوستون وقع عام 1986 .",1
تحتل الولايات المتحدة الأمريكية ، حتى الآن ، المرتبة الأولى في قائمة الدول المصدرة للأسلحة في العالم ، إذ تقدر قيمة عمليات نقل الأسلحة التقليدية من طرفها بنحو 30 % من إجمالي قيمة صادرات الأسلحة في العالم . وتأتي روسيا في المركز الثاني بمعدل 26 % من حجم المبيعات العالمية . وتتصدر الجزائر والمغرب الدول المستوردة للسلاح على الساحة تحتل الولايات المتحدة الأمريكية ، حتى الآن ، المرتبة الأولى في قائمة الدول المصدرة للأسلحة في العالم ، إذ تقدر قيمة عمليات نقل الأسلحة التقليدية من طرفها بنحو 30 % من إجمالي قيمة صادرات الأسلحة في العالم . وتأتي روسيا في المركز الثاني بمعدل 26 % من حجم المبيعات العالمية . وتتصدر الجزائر والمغرب الدول المستوردة للسلاح على الساحة و تأتي ألمانيا في المرتبة الثالثة بنسبة 7 % . أما فرنسا ، فتحتل المرتبة الرابعة بمعدل 6 % . وتأتي في المرتبة الخامسة الصين ب 5 % من معدل تجارة السلاح العالمية ، وبالتالي تكون المملكة المتحدة خارج تصنيف الخمسة الأوائل المصدرين للسلاح في العالم . الدول المستوردة للأسلحة حسب معهد استكهولم الدولي لأبحاث السلام تعتبر الجزائر والمغرب أكثر الدول استيرادا للأسلحة على الصعيد الدولي ، حيث يشهد البلدان سباقا محموما نحو التسلح ، ويعملان على تجديد ترسانتيهما العسكرية وتخصيص موازنات ضخمة ومتزايدة للدفاع ، من أجل ضمان درجة مقبولة من التوازن . وسجلت واردات دول شمال أفريقيا من الأسلحة ارتفاعا بنسبة 350 % ، خلال الفترة الممتدة ما بين عامي 2008 و 2012 ، حيث ازداد استيراد المغرب للأسلحة ، بنسبة 146 % ، في حين رفعت الجزائر حجم وارداتها من الأسلحة بما نسبته 277 % . أهداف مشروع معاهدة تجارة الأسلحة التقليدية تهدف معاهدة تجارة الأسلحة التقليدية إلى إلزام كل بلد بفرض رقابة على صادرات الأسلحة ومنع وصول الأسلحة التقليدية إلى السوق السوداء ، وإجراء تقييم للحيلولة دون الالتفاف على حظر دولي ومنع ارتكاب إبادة أو انتهاكات لحقوق الإنسان أو تنفيذ أعمال إرهابية . وقد وافقت الدول الكبرى المنتجة للأسلحة ، وهي الولايات المتحدة وروسيا وألمانيا وفرنسا والصين وبريطانيا ، يوم 28 مارس آذار ، على مشروع المعاهدة التي بدأت المفاوضات بشأنها عام 2006 . بينما رفضت كل من إيران وكوريا الشمالية وسورية هذا المعاهدة . ويرى مراقبون أن المعاهدة لن تشمل الأسلحة غير التقليدية ، النووية منها والكيميائية والبيولوجية وهو ما يبقي الخطر قائما .,1
ظهور طائر غريب في اسبانيا نصف شيطان ( حسب تخيلنا للشيطان ) وطواط على شكل كائن ذو حجم ضخم,0
"أعلن المكتب الصحفي في بلدية موسكو عن وقف حركة مرور السيارات في بعض شوارع وسط موسكو يومي 13 و 14 أكتوبر عندما تجري هناك التحضيرات لإقامة كرنفال الشباب في إطار فعاليات المهرجان . وجاء في بيان صدر عن المكتب الصحفي لبلدية موسكو إن إجراءات سد الشوارع أمام مرور السيارات بدأت في الساعة السادسة صباح يوم 13 أكتوبر وستستمر لغاية الساعة السادسة مساء اليوم نفسه . أما يوم 14 أكتوبر فسيتم قطع شارع "" فاسيليفسكي "" المؤدي إلى الساحة الحمراء والكرملين . يذكر أن المهرجان العالمي ال 19 للشباب وللطلاب سيقام في روسيا في الفترة ما بين 14 و 22 أكتوبر الجاري . وستنطلق الفعاليات بإقامة كرنفال دولي ضخم للشباب المشاركين في المهرجان بوسط موسكو يوم 14 أكتوبر الجاري . إقرأ المزيد أما فعاليات المهرجان الأساسية فتقام في متنزه سوتشي الأولمبي ، بين 15 و 22 أكتوبر الجاري . وسيشارك فيها ما يقرب من 20 ألف شاب وشابة يمثلون المنظمات السياسية والاجتماعية والثقافية وغيرها من 180 بلدا حول العالم . إقرأ المزيد المصدر : تاس يفغيني دياكونوف",1
برهان غليون طالب باتخاذ موقف حاسم ضد نظام دمشق ( الجزيرة ) قال رئيس المجلس الوطني السوري المعارض برهان غليون إن نظام الرئيس السوري بشار الأسد لا ينفذ خطة المبعوث الدولي العربي إلى سوريا كوفي أنان ، مثلما رفض من قبل تنفيذ المبادرة العربية ، وطالب باتخاذ موقف حاسم ضده . في حين ينتظر أن يصعد أنان من خطابه ضد دمشق في مجلس الأمن . وقال غليون في مؤتمر صحفي إنه لا ينبغي للجامعة العربية ومجلس الأمن أن يتحولا إلى شاهدي زور على ممارسات نظام الأسد .,1
أعلن عالم النفس الأسترالي مارك ألين ، أن ممارسة الجنس في سنوات الشيخوخة تساعد في المحافظة على الذاكرة . من خلال دراسته وتحليله للحياة الجنسية لأكثر من ستة آلاف شخص تجاوزت أعمارهم 50 سنة ، نشر نتائجها في مجلة Archives of Sexual Behavior ، استنتج العالم مارك ألين من أنه بغض النظر عن كون الجنس لا يحسن الذاكرة مع مرور الوقت ، إلا أنه يساعد في الحفاظ عليها في مستوى جيد . وعلاوة على هذا تؤثر العلاقات العاطفية مع الشريك إيجابيا في جودة الذاكرة . وأثبت العالم الأسترالي أن العوامل البيئية تؤثر في الوقاية من الخرف والحفاظ على وضوح عقلي في سنوات الشيخوخة . كما أن العلاقات الاجتماعية تؤثر في القدرات المعرفية إيجابيا . المصدر : نوفوستي كامل توما,1
"أكد وزير الخارجية التركي مولود تشاوش أوغلو أن بلاده تأمل في عودة العلاقات بين موسكو وأنقرة إلى مستواها الطبيعي في أقرب وقت ، ولهذا السبب لم تقم تركيا بخطوات سلبية تجاه روسيا . وقال تشاوش أوغلو خلال زيارته يوم الأحد 27 ديسمبر كانون الأول إلى الجمعية الروسية للثقافة والفنون في مدينة أنطاليا التركية ، إن تركيا تبذل قصارى جهدها من أجل تحسين العلاقات مع روسيا ، مشيرا إلى أن موسكو تعد شريكا بالغ الأهمية بالنسبة لأنقرة . وتعليقا على حادث إسقاط قاذفة "" Su - 24 "" الروسية من قبل سلاح الجو التركي في سوريا شدد تشاوش أوغلو على سعي بلاده إلى إنهاء التوتر في العلاقات بين موسكو وأنقرة ، مضيفا أنه ليس بوسع أحد قطع الصلات التي تربط الشعبين الروسي والتركي . وقال وزير الخارجية التركي : "" سنمارس صبرا لمدة معينة ، وكل شيء سيكون على ما يرام "" . المصدر : وكالات",1
"جهازك لا يدعم تشغيل الفيديو المجلس المركزي الفلسطيني يقرر "" تعليق الاعتراف "" بإسرائيل كلف المجلس المركزي الفلسطيني مساء الاثنين اللجنة التنفيذية لمنظمة التحرير "" بتعليق الاعتراف "" باسرائيل حتى تعترف بدولة فلسطين على حدود عام 1967 . ويأتي اجتماع المجلس في دورته الثامنة والعشرين بعد شهر من إعلان الرئيس الأمريكي دونالد ترمب القدس عاصمة لإسرائيل ، واعتبر المجلس المركزي في بيانه الختامي "" أن الإدارة الأمريكية بهذا القرار قد فقدت أهليتها كوسيط وراع لعملية السلام ، ولن تكون شريكا في هذه العملية إلا بعد إلغاء قرار الرئيس ترامب بشأن القدس "" . من جانبها ، قالت حركة حماس ، التي قاطعت الإجتماع ، إن الإختبار الحقيقي لما صدر عن المجلس المركزي من قرارات هو في الإلتزام بتنفيذها فعليا على الأرض ووضع الآليات اللازمة لذلك . وقالت الحركة في بيان لها "" وفي مقدمة تلك الاليات ترتيب البيت الفلسطيني وفق اتفاق القاهرة 2011 والتصدي لمتطلبات المرحلة الهامة في تاريخ القضية الفلسطينية والصراع مع الإحتلال "" . وأوضح بيان المجلس الذي قاطع اجتماعاته حركتا حماس والجهاد الإسلامي إنه تم "" تكليف اللجنة التنفيذية لمنظمة التحرير الفلسطينية تعليق الاعتراف باسرائيل حتى اعترافها بدولة فلسطين على حدود عام 1967 والغاء قرار ضم القدس الشرقية ووقف الاستيطان "" . وقال سليم الزعنون رئيس المجلس "" في ضوء تنصل دولة الاحتلال من جميع الاتفاقيات المبرمة وإنهائها لها ، بالممارسة وفرض الأمر الواقع ، يؤكد المجلس المركزي أن الهدف المباشر هو استقلال دولة فلسطين ما يتطلب الانتقال من مرحلة سلطة الحكم الذاتي إلى مرحلة الدولة "" . وأضاف "" بناء على ذلك يقرر المجلس المركزي أن الفترة الانتقالية التي نصت عليها الاتفاقيات الموقعة ( مع إسرائيل ) في أوسلو والقاهرة وواشنطن ، بما انطوت عليه من التزامات ، لم تعد قائمة "" . عباس : إسرائيل أنهت اتفاقات أوسلو وخطة ترامب صفعة القرن مساع عربية لإقناع الأمم المتحدة بالاعتراف بدولة فلسطين وعاصمتها القدس الشرقية وجدد المجلس "" قراره بوقف التنسيق الأمني بكافة أشكاله ، وبالانفكاك من علاقة التبعية الاقتصادية التي كرسها اتفاق باريس الاقتصادي "" . وكان المجلس المركزي قرر عام 2015 إنهاء التعاون الامني مع اسرائيل ، لكن القرار لم يدخل حيز التنفيذ . وصوت 74 عضوا لصالح القرار ، وعارضه اثنان ، بينما امتنع 12 عضوا عن التصويت . وكان المجلس المركزي اجتمع يومي الاحد والاثنين لبحث الرد على ما وصفه الرئيس الفلسطيني محمود عباس ب "" صفعة العصر "" في إشارة إلى خطط ترامب بشأن "" السلام في الشرق الأوسط "" . وكان عباس كرر الأحد في كلمته أمام المجلس رفضه للوساطة الاميركية ، واتهم اسرائيل ايضا بأنها "" انهت "" اتفاقات اوسلو للسلام للحكم الذاتي الفلسطيني التي وقعتها مع منظمة التحرير الفلسطينية عام 1993 . وأكد المجلس "" رفضه الاعتراف بإسرائيل كدولة يهودية "" و "" رفض أي طروحات أو أفكار للحلول الانتقالية أو المراحل المؤقتة بما فيها ما يسمى بالدولة ذات الحدود المؤقتة "" . وفي قراره جدد المجلس "" إدانة ورفض "" قرار ترامب الاعتراف بالقدس عاصمة لإسرائيل ونقل السفارة الاميركية الى المدينة المقدسة ، مؤكدا ان الادارة الاميركية "" فقدت بهذا القرار أهليتها كوسيط وراع لعملية السلام ، ولن تكون شريكا في هذه العملية إلا بعد إلغائه . وكان الرئيس ترامب ، الذي أعلن اعترافه بالقدس عاصمة لإسرائيل ، هدد بقطع المعونات المالية المقدمة للفلسطينيين واتهمهم بأنهم لم يقدروا هذه المساعدات . وقد أجهضت الولايات المتحدة باستخدام حق النقض "" الفيتو "" مشروع قرار في مجلس الأمن الدولي يطالب بإلغاء قرار ترامب الاعتراف بالقدس عاصمة لإسرائيل . غير أن الجمعية العامة للأمم المتحدة أيدت بأغلبية ساحقة قرارا غير ملزم يدعو واشنطن للتراجع عن موقفها .",1
