text,label
قررت المديرية العامة للجوازات السعودية فرض غرامة على الوافد الأجنبي المتغيب عن العمل قيمتها 10 آلاف ريال والترحيل والمنع من دخول المملكة نهائيا.,1
صاروخ موجه هو السبب بحادثة بيروت ويظهر في الفيديو صاروخ يصيب المنطقة قبل حدوث الانفجار,0
تعرض نجم نادي برشلونة، الأرجنتيني ليونيل ميسي، لموقف محرج وطريف في نفس الوقت، خلال التقاطه لصورة تذكارية مع زوجة زميله في الفريق، الظهير الأيمن سيرجي روبيرتو.,1
"محاولة اغتيال الامام ماهر المعيقلي امام الحرم 
فضيلة الامام لم يكن داخل السيارة
الحمد لله علي نجاته",0
نادي ساندرلاند الانجليزي يفاجي كريستال بالاس في ملعبه، ويفوز عليه في الدوري بهدف مقابل صفر,1
أكد خبراء أمراض الأورام في الاتحاد الدولي لمكافحة السرطان، أن الأورام الخبيثة تصيب حوالي 10 ملايين شخص كل عام.,1
لجأ 68 عنصراً من الجيش السوري -بينهم عدد كبير من الضباط، منهم اثنان برتبة لواء- مع عائلاتهم، إلى تركيا اليوم الجمعة.,1
يسيطر تنظيم الدولة الاسلامية على 300 ألف كم مربع في سوريا والعراق حتى الان، وما زال مستمرا في توسعه في البلدين. ما المرحلة المقبلة من توسع التنظيم؟ اين سيتوقف التنظيم في توسعه؟ وهل ستعود الحدود كما كانت في حال هزيمة التنظيم عسكريا؟.,1
"أكدت وثائق دبلوماسية امريكية جديدة نشرها موقع ""ويكيليكس"" مؤخرا وجود قنابل نووية أمريكية في الأراضي التركية. من جانب آخر اتهم حسين تشيليك نائب رئيس حزب العدالة والتنمية التركي الحاكم بالوقوف وراء تسريب مئات آلاف الوثائق الأمريكية السرية في محاولة للضغط على الحكومة التركية.",1
أدى الغزو الامريكي للعراق وظروف الحرب الى تضرر الكثير من الوثائق والمستندات التاريخية. خاصة تلك المتعلقة بفترة حكم الرئيس العراقي الراحل صدام حسين. ويحاول القائمون على المكتبة الوطنية العراقية اصلاح هذه المستندات التي تضم  تقارير لا حصر لها من حزب البعث والشرطة السرية والمخابرات في المرحلة السابقة.,1
قوات الامن الصينية تشدد اجراءاتها في اقليم التبت عشية الذكرى الثانية للتظاهرات واعمال العنف التي عمت الاقليم عام 2008 احتجاجا على سياسة بكين.,1
التلفزيون يقترب من تحول ملموس مع قرب اشتعال شرارة حرب السيطرة على الشاشة الصغيرة بين شركات الخدمات التكنولوجية المتطورة من جهة، والشركات المنتجة لاجهزة التلفزيون الاعتيادية.,1
