text,label
أطاحت الروسية داريا كاساتكينا بالفرنسية أليز كورنيه من الدور الثاني لبطولة كأس الكرملين للتنس ، البالغ مجموع جوائزها أكثر من 900 ألف دولار .,1
قالت مصادر أمنية بشمال سيناء إن شرطيا مصريا قتل برصاص بندقيته عن طريق الخطأ مساء الأحد أثناء وجوده في نوبة حراسة على الحدود بين مصر وإسرائيل . ويتعرض الجنود المصريون لإطلاق نار متكرر سواء من الجانب الإسرائيلي أو من عصابات تهريب الأجانب .,1
عاجل قبل قليل ترامب يحس بالإغماء والشك بإصابته بكرونا,0
انا _ لله _ وإنا _ إليه _ راجعون توفيت صباح اليوم الممرضة المجاهدة أحلام الحاجي العاملة في مصلحة كوفيد منذ أكثر من شهر ( بقيت تعمل دون أن ترى أهلها منذ أكثر من شهر ) اللهم ارحمها واسكنها فسيح جناته .,0
الفيتنامي فام دينه نوين ، وهو تاجر من مدينة هو شي منه ، يشتري مدينة بوفورد في ولاية وايومينغ الامريكية ، وهي اصغر مدينة في الولايات المتحدة لا يسكنها الى شخص واحد ، بتسعمئة الف دولار .,1
"قاد الهداف الإسباني ديفيد سيلفا فريق مانشستر سيتي للفوز على ضيفه فولهام بهدفين نظيفين ، في المباراة التي أقيمت بينهما يوم السبت 19 يناير - كانون الثاني على ملعب "" الاتحاد "" ، ضمن منافسات المرحلة الثالثة والعشرين من الدوري الإنجليزي لكر القدم .",1
"في الصحف البريطانية الصادرة اليوم نطالع سيلا من التقارير التي ترصد تطورات الأوضاع في تونس ، وعددا من التعليقات والتحليلات التي تحذر القادة العرب من احتمال امتداد "" ثورة الياسمين "" إلى بلدانهم .",1
"ما حققه دان براون يقودني للحديث عن أهمية كتاباته إبداعيا ، بعيدا عن البهرجة ومنتجعات "" الأكثر مبيعا "" التي يعتبر أحد زبائنها الدائمين ، ولكنها ليست أهم من كتابات أخرى لعدد من مجايليه .",1
حذر المدير العام للوكالة الدولية للطاقة الذرية محمد البرادعي من توجيه ضربة عسكرية لإيران ، وقال إن الإقدام على ذلك سيحول المنطقة إلى كرة من اللهب وسيدفع الإيرانيين إلى تعجيل تصنيع القنبلة النووية . بالمقابل طالب البرادعي إيران بالتفاوض حول نوويها والإمساك باليد الممدودة إليهم .,1
"هذه "" عائشة "" التي تحفظ كتاب الله تعالى مع أبيها "" خلوصي أكار "" وزير الدفاع التركي . .",0
انقضى عام 2016 بأفراحه وأتراحه ، وإن كان كثيرون يرون أن أتراحه غلبت على أفراحه ، وقد استقبل العالم العام الجديد 2017 بآمال في أن يكون أفضل من سابقه . فما هي آمالكم وطموحاتكم للعام الجديد 2017 ؟,1
اعتقلت قوات الأمن البحرينية عبد الهادي الخواجة الناشط البارز في مجال حقوق الانسان وقامت بضربه حسبما قالت ابنته مريم .,1
ذكر وزير الدفاع الفرنسي الجمعة أن عدد القوات الفرنسية المنتشرة في مالي وصل إلى 1800 عنصر ، نافيا الأنباء التي تحدثت عن سيطرة الجنود الفرنسيين والماليين على بلدة ديابالي الواقعة على بعد 400 كلم شمال باماكو .,1
تحتفل الملكة البريطانية إليزابيث الثانية وزوجها الأمير فيليب ، اليوم الاثنين ، بالذكرى السبعين لزواجهما .,1
تناولت الصحف المصرية الصادرة صباح الخميس ، بدء المشاورات لاختيار أعضاء الحكومة ، وسط امتناع معظم القوى السياسية الإسلامية عن المشاركة ، وتأكيدات بأن تكون الكفاءة هي معيار الاختيار ، كما أنها سلطت الضوء على اليوم الأول في رمضان بالميادين المعارضة والمؤيدة للنظام الحالي .,1
تصدقون ان يصل بنا الامر علي منبر رسول الله عليه الصلاة والسلام يقال ان هذا المسجد خصص للسعوديين فقط وليس لغيرهم . عرفتم الآن اغلب المساجد مساجد الضرار لم يبني علي التقوي … لقوم يبصرون,0
حث وزير الخارجية الأمريكي ريكس تيلرسون السعودية على إمعان النظر في سياستها الإقليمية ، مع تنامي القلق بخصوص انخراط السعودية في اليمن وسياستها مع لبنان وقطر .,1
سكرو البيبان والشبابك نوع جديد يشبه للعقرب في تونس يمص اي حاجة و يكبش فاها برتاجي خلي الناس تعلم,0
مقتل 22 شخصا وإصابة 30 آخرين في اشتباكات بين أفراد من المالكية والإباضية في ولاية غرداية الصحراوية في الجزائر .,1
قال مسؤول بحكومة جنوب أفريقيا إن رئيس جمهورية أرض الصومال الانفصالية محمد إبراهيم عقال توفي في مستشفى عسكري في بريتوريا ، وكانت أرض الصومال قد أعلنت استقلالها عن الصومال عام 1991 لكن لم يعترف بها أحد .,1
"عقد معهد الاستشراق التابع لأكاديمية العلوم الروسية في موسكو مؤتمره العلمي تحت شعار "" 190 عاما من الاستشراق الروسي : التاريخ ، الإنجاز ، الآفاق "" ، بحضور نخبة من كبار العلماء والباحثين والمستشرقين . وقدمت في المؤتمر 25 ورقة بحث ناقشت محاور متصلة بقضايا الاستشراق وحوار الثقافات .",1
"اتهمت وزيرة الخارجية الأمريكية هيلاري كلينتون السياسة الروسية في سوريا بأنها تصب في مصلحة "" الحرب الأهلية "" ، وتصريحات متضاربة لقادة الجيش السوري الحر حول الهدنة .",1
أعلنت الشرطة أن مسلحين قتلوا اليوم ستة من قوات مجالس الصحوة في كمين شمال شرق بغداد . ونقلت أسوشيتد برس عن المتحدث باسم شرطة ديالى الرائد غالب الكرخي قوله إن أفراد قوات الصحوة قتلوا بعد تفجير سيارتهم بعبوة ناسفة قرب بلدة المقدادية .,1
ياني يعزف موسيقى رأفت الهجان .,0
"دعا الأمين العام للأمم المتحدة بان كي مون مجلس الأمن الدولي لفرض حضر أسلحة على سورية ، معتبرا أن الأخيرة تقترب يوما بعد يوم من أن تصبح "" دولة فاشلة "" .",1
كوريا الشمالية تهدد بقصف منشآت تابعة لكوريا الجنوبية إذا لم توقف هذه الأخيرة حملات الدعاية المضادة لها .,1
"نقلت وكالة "" رويترز "" عن مسؤولين أفغان يوم الأربعاء إن إعلان الولايات المتحدة عن جدول سحب قواتها من افغانستان بدءا من يوليو - تموز في العام القادم يعزز حركة طالبان . وكان الجنرال جيمس كونوي قائد مشاة البحرية الأمريكية قد ذكر يوم الثلاثاء ان خطة الرئيس الامريكي باراك اوباما لبدء سحب القوات من أفغانستان من يوليو - تموز 2011 عززت الروح المعنوية لطالبان .",1
أصدرت الحكومة السودانية ، أمس السبت ، قرارا بحصر تجارة الذهب في الشراء والبيع والتصدير عبر البنك المركزي .,1
انفجار كبير يهز الضاحية الجنوبية لبيروت ، معقل حزب الله اللبناني ، يسفر عن سقوط قتلى وجرحى .,1
"أحرز أرسنال لقب مسابقة كأس الاتحاد الإنكليزي لكرة القدم ، على حساب أستون فيلا بفوزه عيله ( 4 - 0 ) في المباراة النهائية التي جمعتهما السبت 30 مايو - أيار ، في ملعب "" ويمبلي "" بالعاصمة لندن .",1
أعلنت أربعة أحزاب تونسية معارضة عن تشكيل جبهة تنسيق للتحضير للانتخابات الرئاسية المقبلة في البلاد في أكتوبر - تشرين الأول 2004 . وجاء الإعلان في بيان للأحزاب الأربعة التي أكدت رغبتها في العمل المشترك لتأمين انتخابات حرة وشفافة .,1
قال الجيش المصري أمس الأربعاء إنه سحب عددا من دباباته التي كان قد نشرها بالقرب من الحدود مع قطاع غزة في إطار حملته العسكرية ضد مسلحين في شبه جزيرة سيناء .,1
حتى وإن حصل انقلاب ، كما يدعي ذباب بعض دول الحصار ، فهذا شأن داخلي . قد لا نتفق أنا وأخي تميم في بعض الملفات الداخلية ، وقد يفوز أو أفوز بها أحيانا ، لكن في النهاية نحن أسرة متماسكة من أصغر فرد لأكبرهم ، والحكم يبقى في يد الأجدر,0
تناولت الصحف البريطانية الصادرة صباح الثلاثاء في نسخها الورقية والرقمية عدة ملفات تهم القاريء في المنطقة العربية منها ملف العلاقات المتوترة بين إيران وواشنطن وملف خروج بريطانيا من الاتحاد الأوروبي علاوة على موضوعات أخرى,1
قالت صحيفة لوس أنجلوس تايمز إن الزعيم الليبي العقيد معمر القذافي يحكم بلاده على مدى أربعة عقود بأدوات متوفرة لدى آخرين من قادة العرب .,1
الجيوش تستعد لخوض الحرب العالمية الاولى,1
"أكد البلجيكي جاك روغ رئيس اللجنة الأولمبية الدولية اليوم قبل سويعات من حفل الختام لدورة الألعاب الأولمبية "" لندن 2012 "" أن العاصمة البريطانية "" أنعشت "" الحركة الأولمبية بتقديمها دورة ألعاب "" رائعة وخارقة للعادة "" .",1
بينما يغيب الزوج وراء القضبان تقوم الزوجة في صمت بدور الأم والأب معا لأبنائها الخمسة ، والجدة والجد لأحفادها ، وتبقى تنتظر الفرج القريب .,1
"قام الجيش الروسي بتصميم أولى طائرته الضاربة من دون طيار أطلق عليها "" تي - 16 "" .",1
كائن غريب يطير بسماء عمان بسم الله الرحمن الرحيم شو هاذ ؟ ؟,0
مسافر عبر الزمان في مباراة مايك تايسون ؟ !,0
أكد نائب رئيس الوزراء ووزير الداخلية الإيطالي ماتيو سالفيني أنه بعد معالجة ملفي الأمن والهجرة يأتي دور الثورة في الاقتصاد بالبلاد .,1
مسؤولون أمريكيون يقولون إن المسلح الذي قتل تسعة أشخاص في إطلاق نار داخل كلية بولاية اوريغون الأمريكية قد انتحر بإطلاق النار على نفسه قبل وصول الشرطة اليه .,1
تناولت الصحف اللبنانية الصيحات التي أطلقها شارون تمهيدا لزيارته الوشيكة إلى واشنطن ، ومحاولته الالتفاف على تراجع التأييد الشعبي له في إسرائيل ، ورفض إسرائيل وواشنطن لتعهد الرئيس الفلسطيني بإنهاء الصراع مع الدولة العبرية .,1
الكراسي المخفية والصندوق في السجاد ، مسجد عبد الوهاب ، الدوحة ، قطر .,0
دراسة طبية في جامعة القاهرة بمصر تشير إلى أن شيب الشعر مرتبط بتنامي احتمال لإصابة بأمراض القلب والشرايين .,1
أصيب أربعة عمال فلسطينيين بينهم فتى بجروح برصاص قوات الاحتلال الإسرائيلي قرب حاجز إيريز شمال بيت حانون شمال قطاع غزة . وأعلن الجيش الإسرائيلي أن صاروخا أطلقه فلسطينيون من القطاع سقط على جنوب إسرائيل ، لكنه لم يوقع إصابات أو أضرارا .,1
عاجل . منظمة الصحة العالمية تعلن رسميا : لقاح جامعة أوكسفورد البريطانية المضاد لفيروس كورونا أثبت فعاليته . بريطانيا,0
تأهل فريق الجيش السوري إلى ربع نهائي بطولة كأس الاتحاد الآسيوي بتغلبه على نفط الوسط العراقي 1 - 0 في المباراة التي جمعتهما في طهران ، الأربعاء 25 مايو ، في إطار ثمن نهائي المسابقة .,1
# ترامب يسرب صوره تجمع هيلاري كلينتون مع اسامه بن لادن,0
"كشفت صحيفة "" عكاظ "" عن الشركة التي حازت على أول رخصة لتشغيل دور السينما في المملكة العربية السعودية .",1
أسوأ ما في الأحداث الأمريكية والأشد ألما نحن لسنا عرب كي تقتلونا ونصمت ! ! # مؤلمة صرنا فرجه ومثل الإهانة وقلة القيمة,0
هدول بنتين طلعو لامريكا طبعا خسرو امن وابوهن بل حرب يلي بسوريا ولما راحو امريكا حسنو يختمو لغة خلال شهرين وبعدا دخلو علم لكيميا واختروعو دارة سلفرونس طبعا هي مادة كيميائية تساعد ع انهاء سرطان الثدي وهل شي يلي وصلولو خلال 8 شهور ورغم كلشي مرو فيه وئاسوه اختروعو شي لعلم وعلماء لدنيا ما حسنولو بس هدول لبنتين عمرن 22 و 24 عملوه وهل شي خلا عليهن حمله اعلامية واسعة ونهايتا كانت استضافهن اوباما بل بيت لابيض,0
عثر على انابيب اختبار تحتوي على فيروسات الجدري مهملة موضوعة في علبة كارتون منذ عشرات السنين .,1
أوشكت زائرة لمدينة الملاهي في متنزه Foire du Tr ne بباريس على الموت في حادث مرعب بعد أن علقت بأرجوحة على ارتفاع 50 مترا .,1
المدير السابق لمحطة وكالة المخابرات المركزية الامريكية في مدينة ميلانو الايطالية ، والمتهم بخطف رجل دين مصري يدعى ابو عمر ، يطلب العفو من الرئيس الايطالي بعد ان حكم عليه غيابيا بالسجن 9 سنوات .,1
“ مهنة الطب رغم أنها بتزرع فيك الإنسانية . . إلا إنك من خلالها بتعرف ناس مش بس منزوعي الإنسانية ، بل قد يكونو بلا قلب أصلا ! هذا الطفل جاء مع والدته إلى عيادة الجراحة ليقوم الجراخ بتصويره و يكتشف أن والده قام باستخدام “ دريل براغي ” و وضع برغي بحلق إبنه و يتسبب ب ثقب في أسفل الجمجمة Basal skull fracture ! الطفل لحسن الحظ لم يتعرض لكسر كامل بل ثقب فقط وثقب # متقن ! منع تسرب السائل الدماغي من جمجمته ! الأم لم تعترف بما حصل ! والجراح مشكورا إضطر لطمأنتها مؤقتا بأن ما حدث هوه صدفة بحتيه حتى يتمكن من إجراء عملية وإزالة البرغي بالتعاون مع جراحة الأعصاب دون أن تهرب خفية ونفقد الولد للأبد ! وبعد ذلك سيتصرف بما يملي عليه ضميره مشكورا كم افهمنا بل وقد تصرف فعلا ! هذه الدنيا فيها من الحيوانات ما يكفي لأن تكون غابة مقرفة يسكنها بعض البشر ! سامحوني على اللفظ للتأكد الحاله في مستشفى الكرك الحكومي قسم الجراحة منذ يومين # اخ _ لوين _ وصلنا ”,0
قتل حارس وأصيب ثلاثة بينهم مدير البنك في عملية سطو مسلح على فرع للبنك الأهلي بمحافظة عدن جنوب اليمن .,1
سقط باير ليفركوزن في فخ الهزيمة 1 - 4 أمام ضيفه شالكه ، الجمعة ، في المباراة التي أجريت بينهما على ملعب باي أرينا في افتتاح المرحلة الحادية والثلاثين من الدوري الألماني .,1
قبل أسبوعين قامت السيدة ميركل بالاعتذار من أطفال ألمانيا بسبب حرمانهم من الخروج و الذهاب إلى ساحات اللعب في فترة الحجر الصحي . . و ووعدتهم أن تصرف لعائلاتهم مبلغ 300 على كل طفل لكي يأخدوهم لتنزه و يشترون لهم الألعاب التي يحبونها . . أمس طبق القرار . .,0
تدفع غزة ثمنا باهظا للحصار الإسرائيلي المفروض عليها منذ أكثر من سبعة أعوام ، وتؤكد تقارير حقوقية أن غزة على وشك انهيار كامل على الصعيد الإنساني ومعيشة المواطنين وصحتهم .,1
قال رئيس الاتحاد الآسيوي لكرة القدم محمد بن همام إن العامل العرقي كان أحد الأسباب التي أدت إلى قرار حرمانه من مزاولة اي نشاط متعلق بكرة القدم .,1
"أكدت الحكومة السودانية الأربعاء أنها ستطرد عددا من عمال الإغاثة الدوليين من ولاية غرب دارفور بتهمة القيام ب "" انتهاكات "" لم تحددها .",1
أعلنت وزارة الخارجية الأمريكية يوم الخميس 11 أغسطس - آب عن فرض عقوبات اقتصادية جديدة على 4 شركات بيلاروسية تملكها الدولة . وأعلنت فيكتوريا نولاند الناطقة بسام وزارة الخارجية الأمريكية أن العقوبات الجديدة تستهدف المسؤولين عن قمع الاحتجاجات التي شهدتها بيلاروس بعد الانتخابات الرئاسية في الجمهورية في ديسمبر - كانون الأول الماضي .,1
""" وعسى أن تكرهوا شيئا وهو خير لكم . . "" # غزة 14 عاما من العزل الحصار … غزة بفضل الله خالية من الكورونا . شاهد",0
بركان يثور في المدينة المنورة اللهم بردا وسلاما,0
أول مسلسل في الوطن العربي هيعرض على NETFLIX و أترجم للأنجليزي و الفرنساوي و الهندي لحد دلوقتي . . شابوه يا و,0
السلطات السورية تطالب بانسحاب فوري وغير مشروط للقوات التركية المنتشرة في محافظة إدلب شمال غربي البلاد ، حسب وسائل الإعلام الرسمية في سوريا .,1
بدأ المجلس الوطني السوري ، أكبر قوى المعارضة السورية ، مناقشات على مدار ثلاثة أيام في العاصمة الإيطالية روما تهدف لاتخاذ قرار بشأن زعامته ودعم مصداقيته في الداخل والخارج .,1
"أوردت مجلة تايم الأميركية مقتطفا من إصدارها الخاص ب "" أفضل 100 غذاء علاجي "" استعرضت فيه 11 صنفا من الأطعمة قالت إنها الأفضل لجهاز المناعة لدى الإنسان .",1
تغيب خمسة مدونين إماراتيين الأحد عن جلسة محاكمتهم بتهمة الإساءة إلى رئيس الدولة وكبار المسؤولين .,1
إقالة نصاف بن علية مديرة مرصد الأمراض الجديدة والمستجدة في تونس من منصبها .,0
الغربان تهاجم مدينة ووهان مصدر فايروس كورونا ، بحثا عن الجثث بعد تصاعد رائحة الموتى .,0
أدانت المكيسيك مزاعم قيام وكالة الأمن القومي الأمريكي بالتجسس على الرئيس المكسيكي السابق فيلبي كالديرون .,1
