text,label
رهينات بوكو حرام . . من سواد الإرهاب إلى ألوان الحرية,1
"تأهب في جنيف بينما تبحث الشرطة عن "" إرهابيين """,1
الفراعنة أول من وصف السرطان,1
"السائحة الدنماركية والطفل الذي وجدته سابقا في "" نيجيريا "" وقد تم التخلي عنه حينها بحجة أنه "" مسحور "" حيث تبنته للعلاج الإنسانية هى من تجعلك جميلا افضل من مساحيق التجميل . .",0
رحيل المدرب المغربي مصطفى مديح,1
بوش يعد بأسر بن لادن,1
متظاهرون يرفضون العفو عن مبارك,1
- بريطانيا الفيروس التاجي ( كورونا ) يهدد بنزع التاج من على رأس الملكة إليزابيت . أخبار عن إصابة الملكة إليزابيت أيضا بالكورونا فيروس . بعد إصابة ولي عهدها الأمير تشارلز . القصر الملكي ببريطانيا مخترق كليا بالكورونا .,0
التقاط صورة سيلفي مع أول مريض كورونا في مصر مع العاملين في مستشفى كفر الدوار .,0
في إعادة ألحان أوبرا كارمين إفادة . . وإبداع,1
""" Caviar "" تحتفل بجسر القرم بهاتف ذهبي !",1
نسخة معاينة جديدة من ويندوز 10,1
قطر تتوقع نموا اقتصاديا كبيرا,1
وفاة الشيخ عمر عبد الرحمن في سجنه بالولايات المتحدة,1
رجل برأس سمكة يظهر للصيادين ( فيديو ),1
الفلسطينيون يعترفون بتكساس كجزء من المكسيك,0
الدنمارك تفرض ضريبة على الدهون المشبعة,1
السعودية : أسواق النفط العالمية تتحسن وتستقر,1
تراجع حاد للنفط بعد صعود,1
"وثائق "" ويكيليكس "" تؤكد وجود أسلحة نووية أمريكية في تركيا",1
وفاة شاب بسبب حبوب البنادول بعداخذها وشرب وراها مشروب غازي وتوفي على الفور وبعد الكشف عليه تبين ان البنادول مع المشروب الغازي تحول الى سم وقتله فورا لذلك لا تشربوا اي دواء مع مشروب غازي لا تبخل على احد بالفائدة ارجوا النشر,0
باراك أوباما يتقدم صفوف مظاهرات ضد العنصرية في # أمريكا . أين الكورونا أنا لا أراها ؟,0
ميناء مقديشو يزدهر رغم مزاعم الفساد,1
ادعى رجل يبلغ من العمر 128 عاما من الأرجنتين أنه الديكتاتور الألماني أدولف هتلر ، الذي تختلف الروايات حول موته أو هروبه للأرجنتين وذكرت صحيفة “ إيل باتريوتا ” الأرجنتينية أن رجلا عجوزا من مدينة سالتا في الأرجنتين يزعم أنه هتلر وأنه قضى 70 عاما مختبئا . وفي حوار مع الرجل ، أوضح أنه وصل إلى الأرجنتين في عام 1945 بجواز سفر يحمل اسم هيرمان جونثبرج ، موضحا أنه جواز سفر مزور صنعه له “ جستابو ” ، البوليس السري النازي ، قبيل انتهاء الحرب ، وأنه في الحقيقة هتلر . وحول سبب خروجه عن صمته في الوقت الحالي ، قال الرجل إن الاستخبارات السرية الإسرائيلية أوقفت رسميا سياستها بملاحقة النازيين ، العام الماضي . وبين هذا الرجل أن العالم ألقى عليه العديد من الجرائم التي لم يرتكبها ، موضحا أنه قضى أكثر من نصف عمره مختبئا من اليهود ، ولفتت الصحيفة إلى أن هذا الرجل يستعد لنشر سيرته الذاتية بهدف تحسين صورته العامة . وأوضح “ هتلر ” ، “ وصفوني بأنني شخص سيئ لأننا خسرنا الحرب ، لكن حينما سيقرأ الناس رؤيتي للأحداث ، سيغيرون رأيهم ”,0
نواب إسرائيليون يهددون بمقاطعة المنتجات البريطانية,1
"مادورو يتهم "" دمية الشيطان "" بإعداد خطة لاغتياله",1
ايران ستجري اختبارا لانواع جديدة من صواريخها,1
الصاروخ السوري الذي أسقط المقاتلة F - 16 الإسرائيلية,1
الملك فاروق في رحله صيد البط راكب على ظهر احد الفلاحين المصرين,0
تساؤل منطقي . . كيف ترامب يوقع على فاتورة بقيمة 6 . 2 تريليون دولار تخص مساعدات مالية لجائحة فيروس كورونا في يناير 2019 م ؟ ؟ بينما الجائحة بمسماها الحالي ما طلعت إلا في ديسمبر 2019 م ، ، يعني طابخين الموضوع قبل 11 شهر من ظهور الجائحة الحالية وبنفس المسمى,0
