text,label
الطائر الوحيد الذي يغطي وجهه عند شرب الماء في رمضان,0
أفاد مراسل الجزيرة بأن رئيسي السودان عمر البشير وجنوب السودان سلفاكير ميارديت اتفقا في العاصمة الإثيوبية على توقيع بروتوكول تعاون بين البلدين يشمل عددا من القضايا ، منها الترتيبات الأمنية وأحوال المواطنين في البلدين والملف الاقتصادي ، ويستثني أبيي .,1
عااجل GDS : كريستيانو رونالدو تعرض ل حادث مروري قوي في تورينو وحالته خطره ! !,0
قيس السعيد يستقبل حاخام اسرائيلي لبحث سبل تعزيز التعاون السياحي بين تونس ودولة الاحتلال الصهيوني,0
شاهدوا اسرع هروب في التاريخ يقال انها رئيسة مجلس النواب الأمريكي هذه صياد,0
بعد أن حكم على ابنها 20 عام في سجون الاحتلال ، ، # توفت عند استقباله وبعد أن حضنته وهو عائد إليها من سجنه,0
أنفاق تحت مرفأ بيروت انكشفت بعد الإنفجار خاصة لحزب الله لتهريب السلاح والمتفجرات . . أتمنى لجنة تحقيق دولية تشارك بالتأكيد ستجد الكثير من الخفايا بسبب سياسة حمقاء تنفذ مشاريع إيران في المنطقة .,0
"سيطر التعادل السلبي على اللقاء الذي جمع سرفينا زفيزدا الصربي "" النجم الأحمر "" بضيفه تسيسكا موسكو الروسي ، اليوم الثلاثاء ، في ذهاب دور ال 32 من بطولة الدوري الأوروبي لكرة القدم .",1
أفادت الشبكة السورية لحقوق الإنسان بمقتل 123 شخصا أمس في سوريا ، معظمهم في إدلب وحلب ودرعا . يأتي ذلك بينما كثف الجيش النظامي قصفه للمدن والبلدات السورية ، وخاض اشتباكات مع الجيش الحر . كما خرجت أمس مظاهرات في مناطق مختلفة من سوريا .,1
الرئيس الأمريكي دونالد ترامب يقول إن الفلسطينيين ، وربما الإسرائيليين أيضا ، ليسوا مستعدين في الوقت الراهن لصنع السلام .,1
فرض 300 يورو ( 270 استرلينيا ) غرامة على رجل في فرنسا بسبب اعتداء جنسي ، تطبيقا لقانون جديد يحظر التحرش في الشوارع .,1
"دراسة تخلص إلى أن هناك "" تمييزا كبيرا "" فيما يخص طبيعة نتائج أبحاث غوغل وذلك بناء على عرق الأسماء المبحوث عنها .",1
أعلن المرشد الإيراني الأعلى علي خامنئي أن الولايات المتحدة غير جديرة بالثقة وتسعى لإشعال نزاعات وحروب .,1
منتخب ساحل العاج لكرة القدم مهدد بالخروج من التصفيات المؤهلة لنهائيات كأس الأمم الإفريقية بسبب فيروس إيبولا .,1
صورة لحارس المرمى الإسباني إيكر كاسياس وهو يحمل زجاجة بيرة من علامة بدويايزر أرسلها إليه ميسي .,0
راكيتيتش اتباع رسمي ب 78 يورو يعني حوالي 1500 جنيه مصري,0
أطلقت السلطات السودانية الخميس أربعة من أعضاء المؤتمر الشعبي المعارض كانوا محكومين على خلفية ما سميت بالمحاولة التخريبية في العام 2003 . وكان الرئيس عمر البشير أمر مطلع الشهر الجاري بإطلاق جميع المعتقلين السياسيين وفتح باب الحوار مع المعارضة .,1
"السلطات البحرينية تستدعي علي سلمان زعيم جمعية الوفاق الإسلامية المعارضة للتحقيق فيما تصفه ب "" تجاوزات ومخالفات قانونية "" خلال مظاهرة مطالبة بالديمقراطية .",1
