text,label,source
اضطر 1 من كل 3 مواطنين من الشرق الأوسط وشمال أفريقيا لدفع رشوة في عام 2015 بالرغم من قول حكومات المنطقة إنها تبذل ما بوسعها لمحاربة الفساد ومعاقبة الفاسدين. لماذا تزداد مظاهر الفساد في العالم العربي وما الدور الذي يلعبه المواطن في مواجهتها أو نشرها؟,1,bbc.com
الخرطوم (رويترز) - قال شهود إن قوات الأمن السودانية اشتبكت مع محتجين في ثلاث مدن يوم الأحد مع تواصل المظاهرات ضد حكم الرئيس عمر البشير,1,arabic.euronews.com
أكد الرئيسان الروسي بوتين والكازاخستاني نزاربايف أن تنفيذ قرارات مؤتمر سوتشي سيسهم بشكل كبير في تحقيق التسوية السياسية في سوريا تحت إشراف الأمم المتحدة.,1,arabic.rt.com
وجدت دراسة جديدة أن البشر الأوائل لم يتسببوا في انقراض أكبر الثدييات في إفريقيا من خلال عمليات الصيد التي قاموا بها بعد تعلمهم إنتاج الأدوات والأسلحة.,1,arabic.rt.com
كشف نائب رئيس الوزراء التركي بكر بوزداغ أمس الخميس، أن الاستخبارات التركية أجرت عمليات سرية في 18 دولة، اعتقلت خلالها نحو 80 تركيا تلاحقهم بتهم التورط بمحاولة الانقلاب عام 2016.,1,arabic.rt.com
أعلنت وزارة الداخلية التونسية يوم الخميس، إن إرهابيين اثنين فجرا نفسيهما خلال تبادل إطلاق النار مع وحدات أمنية في ولاية سيدي بو زيد وسط البلاد.,1,arabic.rt.com
"دعا الرئيس التركي، رجب طيب أردوغان، جميع الأتراك لدعم الليرة والتصدي للحرب الاقتصادية، مضيفا أنه ""لا داعي للقلق فلا يمكن إعاقة مسيرتنا بالدولار وسواه"".",1,arabic.rt.com
"بكين (رويترز) - قالت وزارة الخارجية الصينية إن دبلوماسيين بارزين من الصين وباكستان بحثا يوم الثلاثاء ""التغيرات الجديدة"" في الوضع بأفغانستان في ظل خطط الولايات",1,arabic.euronews.com
سيتيح قرار السماح للمرأة السعودية بقيادة السيارة، توفير نحو 20 ألف ريال (نحو 5.3 ألف دولار) سنويا على كل عائلة.,1,arabic.rt.com
نقابات العاملين في مجال الطيران في أوروبا تحث الطيارين، الذين يقولون إن ساعات عملهم الطويلة تضع حياتهم في خطر، على المشاركة في مظاهرات واسعة تشهدها كبرى المطارات الأوروبية اليوم احتجاجا على قوانين الطيران الجديدة.,1,bbc.com
نشر الناشط البرازيلي، أرتيفال دورتي، مقطع فيديو على يوتيوب، يصور فيه مغامرة خطيرة لجذب الانتباه للمشاكل البيئية الخطيرة التي تتعرض لها غابات الأمازون.,1,arabic.rt.com
"#عاااجل: حريق ضخم في قاعدة عسكرية #إسرائيلية داخل “تل أبيب” ومخاوف من انفجار الذخيرة .. الله أكبر
شيير في كل مكاان وفرح إخوانك ✌
ملاحظة : فيديو الخبر الكاذب حقق أكثر من 3,000,000 مشاهدة في ساعات!.",0,fatabyyano
تمكن عدد من علماء الآثار من اكتشاف نقوش وكتابات تاريخية فريدة في مخطوطات عثر عليها على سواحل البحر الميت.,1,arabic.rt.com
"بيت ""بن جلمود"" في قلب الدوحة كان سوقا لبيع الرقيق في قطر أواسط القرن العشرين، وتحوّل بعد ذلك إلى متحف لتوثيق قصة الرق في العالم عموما ومنطقة الخليج خصوصا.",1,aljazeera.net
مرشح الرئاسة البرازيلي يائير بولسونارو في العناية المركزة,1,arabic.euronews.com
وجدت دراسة جديدة أن النحافة موجودة في الجينات، بحيث يمكن للكثير من الناس البقاء نحيلين دون الحاجة إلى قوة إرادة واتباع نظام غذائي قاس.,1,arabic.rt.com
"#صحيفة_العروبة_اليوم 
#بلاد_العرب_اوطاني 
#خليفة الماسونية يقبل يد رتشيرد سيده ملك الماسونية العالمية! هكذا هم الاخوان ومرشدهم الدولي الصهيوني الماسوني اردوغان يحملون أوجه عده! الم يحن الوقت ليستيقظ المغفلين والمخدوعين بالماسوني اردوغان",0,misbar
علق الناطق باسم الكرملين دميتري بيسكوف على إصدار لجنة الانتخابات المركزية الروسية توصية بضرورة إلغاء نتائج الانتخابات المحلية في إقليم بريمورسك في الشرق الأقصى الروسي.,1,arabic.rt.com
صوّت المشاركون في الجلسة العامة للجمعية البرلمانية لمنظمة الأمن والتعاون الأوروبي في مينسك  لصالح مشروع قدمه الوفد الأوكراني حول استعادة سيادة وسلامة أراضي أوكرانيا.,1,arabic.rt.com
