text,label
الإدمان على الكوكايين يعالج عن طريق تنشيط المخ,1
محو تركيا ديونها يعزز نفوذها,1
هذه السيارات للشركات المستوردة من الخارج جديدة صفر كيلومتر بمرفأ بيروت المدمر,0
ترقب جماهيري لسباق العصر بلندن,1
أردوغان يتلقى اللقاح الإسرائيلي ضد فايروس كورونا,0
الطاقم الفني المساعد يقومون بتغطية الكاميرات حينما استلم ماردونا بعض الكوكايين . .,0
وفد من مجلس الاتحاد الروسي برئاسة ماتفيينكو يتوجه إلى الأردن,1
مقتل 12 على الأقل في زلزال جديد جنوب غربي باكستان,1
منظمة الصحة العالمية تعترف وتشيد بالمجهودات التي يقوم بها جيشنا في اطار محاربة “ كورونا ” وتقدم شهادة تقدير وعرفان … وهذه ترجمة نصها كاملا : — — – الامم المتحدة منظمة الصحة العالمية نحن سفير السلام في برنامج المسؤولية الاجتماعية للأمم المتحدة نقدم بفخر شهادة الالتزام الجيش الوطني الجزائري الشعبي لإثبات هذا الالتزام بأمان ضد covid19 وتعهد بأن يشمل أفضل ما في وسعه على الوقاية مرض فيروس كورونا كما هو محدد من قبل منظمة الصحة العالمي .,0
طوكيو تفوز بحق تنظيم أولمبياد 2020,1
"طائرة دعم القوات البرية "" سو - 25 """,1
شركة نقل مغربية تمنع بيع تذاكر الحافلات للمهاجرين الأفارقة المقيمين في المغرب بصورة غير قانونية .,0
الفقر أحيانا يصنع الابطال وفي اغلب الاحيان يصنع ظواهر الجريمة بائعة المسمن تحصد أول نقطة في البكالوريا على صعيد المغرب ، خديجة ابنة مدينة سلا و بالضبط حي القرية ترعرعت في عائلة فقيرة ، فأبوها يعمل بائع النعناع من أجل دريهمات معدودة في اليوم اليوم هاهي اليوم ولله الحمد صارت صاحبة أعلى معدل باكالوريا في المغرب و في زمن كورونا و زمن بكاء الطلبة على صعوبة الامتحانات,0
هروب 50 جنديا من معتقل بالنيجر,1
هموم فلسطينية بمعرض في عمان,1
