text,label,source
معارضون سوريون يقولون إن إحدى بلدات ريف حماة بوسط سوريا تتعرض الاثنين إلى قصف عنيف، ومقتل تسعة جنود منشقين في كمين نصبه الجيش النظامي شمالي العاصمة دمشق في تصاعد لأعمال العنف بالرغم من الهدنة المدعومة من قبل الأمم المتحدة.,1,bbc.com
قفزت أسعار النفط للعقود الآجلة فوق مستوى 73 دولارا للبرميل في التعاملات الآسيوية اليوم الثلاثاء، مسجلة أعلى مستوياتها في ثمانية أشهر، وسط موجة تفاؤل بشأن احتمالات انتعاش الطلب العالمي. من جهة أخرى ارتفعت الأسهم اليابانية في التعاملات المبكرة.,1,aljazeera.net
 وكالة الفضاء الأميركية ناسا، تعيش حالة رعب، بسبب احتمالية اصطدام خمسة كويكبات بالأرض خلال الفترة القادمة، ما سيسبب ضرراً كبيراً للكوكب.,0,misbar
"شركة ""سوني ميوزك"" للتسجيلات الموسيقية تعلن اعتزامها البدء في إنتاج اسطواناتها الخاصة من نوع ""الفينيل"" مرة أخرى بعد توقف منذ عام 1989.",1,bbc.com
"مستخدمون يشكون من أن البطاقات الإلكترونية الداخلية في منصة ألعاب ""ننتندو سويتش"" سيئة المذاق للغاية بسبب وجود ""مادة مضافة"" تهدف إلى منع ابتلاعها دون قصد.",1,bbc.com
أثارت تغريدات للسفير البريطاني في مصر، جون كاسن، الكثير من اللغط حول حدود اختصاص السفير، وعما إذا كان السفير قد تجاوز اختصاصاته إلى التدخل في شأن مصر داخلي ووصلت ردود أفعال البعض إلى المطالبة بطرده. فهل تدخل السفير في شأن مصري خاص؟,1,bbc.com
"غواصة إسرائيلية تقف قبالة الساحل اللبناني عند منطقة زوق مكايل.
",0,misbar
"تحذير من ""النتائج الخطيرة"" لتجربة القنبلة الهيدروجينية التي أعلنت عنها كوريا الشمالية، ومواقف متباينة إزاء الأزمة الإيرانية السعودية، من أبرز ما شملته تغطية الصحف العربية صادرة الخميس.",1,bbc.com
حذرت وكالة الفضاء الأمريكية ناسا ، من اصطدام 4 كويكبات بالأرض خلال الأيام المقبلة. ووفق ما ذكره موقع Planet News، نقلا عن خبراء أمريكيين، من المرجح أن يقترب اليوم الخميس 26 مارس الجاري من الأرض على مسافة 6 598 310 كلم، بسرعة 85 295 كيلومترا في الساعة، كويكب 2012 XA133 وقطره 390 مترا. وفي الساعة 17.39 بتوقيت تونس، في حين سيقترب من كوكبنا على مسافة 5 632 704 كويكب 2020 PF بسرعة 33 796 كيلومترا في الساعة. وتستمر موجة “الأمطار الكويكبية” يوم 28 مارس الجاري حيث في الساعة 6.13 بتوقيت تونس سيقترب منا كويكب 2020 FE2 الذي قطره 45 مترا بسرعة 25 749 كيلومترا في الساعة، حيث ستفصله عن كوكبنا مسافة 1 609 344 كم. وبعده سيقترب في الساعة 12.19 بتوقيت تونس من يوم 29 مارس، كويكب 2020 GD35 وقطره 71 مترا من الأرض بسرعة 43 452 كيلومترا في الساعة على بعد 5 793 638 كلم. وأكد العلماء أن أي انحراف في مسار هذه الكويكبات قد يؤدي إلى اصطدامها بكوكبنا، وهو ما سيؤدي الى عواقب وخيمة للبشرية، وخاصة إذا كان كويكب 2012 XA133 وقطره 390 مترا,0,fatabyyano
"قدم العلماء استنتاجات مخيبة للآمال، بعد مراقبة الأحداث الأخيرة على سطح الشمس، حيث من الممكن أن تغرق الأرض بظلام دامس لمدة 6 أيام بسبب ""عاصفة شمسية"" هائلة.

في التفاصيل، تحدث هذه الظاهرة مرة واحدة كل 250 سنة، وستكون في شهر ديسمبر/كانون الأول من هذا العام، بحسب ما أفادت به وكالة سبوتنيك.

كما يمكن أن تحجب 90% من أشعة الشمس عن كوكب الأرض، وسيكون سبب العاصفة المغناطيسية هو إطلاق البلازما من البقعة ""AR2192""، وفق موقع ""وان"".

إضافة إلى ذلك، سيتمكن سكان مختلف البلدان من رؤية الشفق القطبي، وأيضا مواجهة أطول ليل. كما يمكن أن تتسبب هذه الحادثة بمشاكل في الاتصال وانقطاع الشبكة.

كذلك فإن مدة العاصفة ستكون حوالي 6 أيام. خلال ذلك، يجب على الأشخاص الذين يعانون من الحساسية، الامتناع عن بذل جهد بدني مفرط.",0,fatabyyano
المدعية العامة للمحكمة الجنائية الدولية فاتو بنسودا تدعو إلى إنهاء العنف في قطاع غزة، وتقول إن مكتبها سيجري تحقيقا مبدئيا للوضع في الأراضي الفلسطينية.,1,bbc.com
زعيم حركة فارك اليسارية المتمردة في كولومبيا يعتذر لضحايا الحرب الاهلية التي مرت بها البلاد في العقود الخمسة الماضية، والتي وضعت اوزارها بالتوقيع الاثنين على اتفاق للسلام تم التوصل اليه بعد 4 سنوات من المفاوضات التي استضافتها العاصمة الكوبية هافانا.,1,bbc.com
نفى الرئيس الكوبي راؤول كاسترو شائعات تقول إن أخاه الأكبر فيدل كاسترو على شفا الموت، مؤكدا أن أخاه كان نشطا ذهنيا وبدنيا رغم مرضه الطويل الذي منعه من الظهور في مناسبات عامة. كما أن رئيسة الأرجنتين التقت فيدل كاسترو في هافانا أمس.,1,aljazeera.net
